port,header,data_size,bit_start,bit_end,type,parameter_name,group_name,coefficient,round
100,0x00,8,0,63,hexstring,device_eui,,1,
100,0x01,8,0,63,hexstring,app_eui,,1,
100,0x02,16,0,127,hexstring,app_key,,1,
100,0x03,4,0,31,hexstring,device_address,,1,
100,0x04,16,0,127,hexstring,network_session_key,,1,
100,0x05,16,0,127,hexstring,app_session_key,,1,
100,0x10,2,7,7,unsigned,loramac_otaa,loramac_join_mode,1,
100,0x11,2,4,7,unsigned,loramac_confirm_mode,loramac_opts,1,
100,0x11,2,8,8,unsigned,loramac_networks,loramac_opts,1,
100,0x11,2,10,10,unsigned,loramac_duty_cycle,loramac_opts,1,
100,0x11,2,11,11,unsigned,loramac_adr,loramac_opts,1,
100,0x12,2,0,3,unsigned,loramac_dr_number,loramac_dr_tx_power,1,
100,0x12,2,8,11,unsigned,loramac_tx_power,loramac_dr_tx_power,1,
100,0x13,5,0,31,unsigned,loramac_rx2_frequency,loramac_rx2,1,
100,0x13,5,32,39,unsigned,loramac_rx2_dr,loramac_rx2,1,
100,0x19,2,0,15,unsigned,loramac_net_id_msb,,1,
100,0x1A,2,0,15,unsigned,loramac_net_id_lsb,,1,
100,0x20,4,0,31,unsigned,tick_seconds,,1,
100,0x21,2,0,15,unsigned,tick_battery,,1,
100,0x22,2,0,15,unsigned,tick_temperature,,1,
100,0x23,2,0,15,unsigned,tick_relative_humidity,,1,
100,0x24,2,0,15,unsigned,tick_light,,1,
100,0x25,2,0,15,unsigned,tick_input1,,1,
100,0x26,2,0,15,unsigned,tick_input2,,1,
100,0x27,2,0,15,unsigned,tick_input5,,1,
100,0x28,2,0,15,unsigned,tick_acceleration,,1,
100,0x29,2,0,15,unsigned,tick_mcu_temp,,1,
100,0x30,4,0,31,unsigned,temperature_relative_humidity_idle,,1,
100,0x31,4,0,31,unsigned,temperature_relative_humidity_active,,1,
100,0x32,2,0,7,signed,temperature_high_threshold,amb_temp_threshold,1,
100,0x32,2,8,15,signed,temperature_low_threshold,amb_temp_threshold,1,
100,0x33,1,0,0,unsigned,temperature_threshold_enable,,1,
100,0x34,2,0,7,unsigned,relative_humidity_high_threshold,amb_rh_threshold,1,
100,0x34,2,8,15,unsigned,relative_humidity_low_threshold,amb_rh_threshold,1,
100,0x35,1,0,0,unsigned,relative_humidity_threshold_enable,,1,
100,0x36,4,0,31,unsigned,input12_sample_period_idle,,1,
100,0x37,4,0,31,unsigned,input12_sample_period_active,,1,
100,0x38,4,0,15,unsigned,input1_frequency_high_threshold,input1_threshold,1,
100,0x38,4,16,31,unsigned,input1_frequency_low_threshold,input1_threshold,1,
100,0x39,1,0,0,unsigned,input1_threshold_enable,,1,
100,0x3A,4,0,15,unsigned,input2_voltage_high_threshold,input2_threshold,1,
100,0x3A,4,16,31,unsigned,input2_voltage_low_threshold,input2_threshold,1,
100,0x3B,1,0,0,unsigned,input2_threshold_enable,,1,
100,0x3C,4,0,31,unsigned,input5_sample_period_idle,,1,
100,0x3D,4,0,31,unsigned,input5_sample_period_active,,1,
100,0x3E,4,0,15,unsigned,input5_frequency_high_threshold,input5_threshold,1,
100,0x3E,4,16,31,unsigned,input5_frequency_low_threshold,input5_threshold,1,
100,0x3F,1,0,0,unsigned,input5_threshold_enable,,1,
100,0x40,4,0,31,unsigned,mcu_temperature_sample_period_idle,,1,
100,0x41,4,0,31,unsigned,mcu_temperature_sample_period_active,,1,
100,0x42,2,0,7,unsigned,mcu_temperature_high_threshold,mcu_temp_threshold,1,
100,0x42,2,8,15,unsigned,mcu_temperature_low_threshold,mcu_temp_threshold,1,
100,0x43,1,0,0,unsigned,mcu_temp_threshold_enable,,1,
100,0x48,1,0,0,unsigned,light_interrupt_enabled,,1,
100,0x49,4,0,31,unsigned,light_intencity_high_threshold,,1,
100,0x4A,4,0,31,unsigned,light_intencity_low_threshold,,1,
100,0x4B,1,0,7,unsigned,light_threshold_timer,,1,
100,0x4C,4,0,31,unsigned,light_sample_period_active,,1,
100,0x4D,1,0,0,unsigned,light_alarm,als_values_tx,1,
100,0x4D,1,0,0,unsigned,light_intensity,als_values_tx,1,
100,0x50,1,0,0,unsigned,acceleration_impact_threshold_enable,accel_mode,1,
100,0x50,1,7,7,unsigned,acceleration_sensor_enable,accel_mode,1,
100,0x51,1,0,1,unsigned,acceleration_measurement_range,,1,
100,0x52,1,0,2,unsigned,acceleration_sample_rate,,1,
100,0x53,2,0,15,unsigned,acceleration_impact_threshold,,1,
100,0x54,2,0,15,unsigned,acceleration_impact_debounce_time,,1,
