port,header,data_size,bit_start,bit_end,type,parameter_name,group_name,coefficient,addition,round
100,0x00,8,0,63,hexstring,deviceEUI,,1,,
100,0x01,8,0,63,hexstring,appEUI,,1,,
100,0x02,16,0,127,hexstring,appKey,,1,,
100,0x03,4,0,31,hexstring,deviceAddress,,1,,
100,0x04,16,0,127,hexstring,networkSessionKey,,1,,
100,0x05,16,0,127,hexstring,appSessionKey,,1,,
100,0x10,2,7,7,unsigned,loramacOTAA,loramacJoinMode,1,,
100,0x11,2,4,7,unsigned,loramacConfirmMode,loramacOpts,1,,
100,0x11,2,8,8,unsigned,loramacNetworks,loramacOpts,1,,
100,0x11,2,10,10,unsigned,loramacDutyCycle,loramacOpts,1,,
100,0x11,2,11,11,unsigned,loramacADR,loramacOpts,1,,
100,0x12,2,0,3,unsigned,loramacDRnumber,loramacDRtxPower,1,,
100,0x12,2,8,11,unsigned,loramacTxPower,loramacDRtxPower,1,,
100,0x13,5,0,31,unsigned,loramacRx2Frequency,loramacRx2,1,,
100,0x13,5,32,39,unsigned,loramacRx2DR,loramacRx2,1,,
100,0x19,2,0,15,unsigned,loramacNetIdMSB,,1,,
100,0x1A,2,0,15,unsigned,loramacNetIdLSB,,1,,
100,0x20,4,0,31,unsigned,tickSeconds,,1,,
100,0x21,2,0,15,unsigned,tickBattery,,1,,
100,0x22,2,0,15,unsigned,tickMCUtemperature,,1,,
100,0x23,2,0,15,unsigned,tickRoomStatus,,1,,
100,0x24,3,0,23,unsigned,room_available_color,,1,,
100,0x25,3,0,23,unsigned,room_occupied_color,,1,,
100,0x26,3,0,7,unsigned,EPD_intensity,,1,,
10,0x40,2,0,15,unsigned,battery_voltage,,0.01,,3
10,0x41,2,0,15,unsigned,temperature,,0.1,,3
10,0x33,0,0,0,unsigned,room_status_request,,1,,
10,0x34,3,0,23,unsigned,book_now_request,,15,,
10,0x35,3,0,23,unsigned,extend_meeting_request,,15,,
10,0x36,3,0,23,unsigned,book_meeting_in_future_request,,15,15,
10,0x37,0,0,0,unsigned,finish_meeting,,1,,
10,0x38,0,0,0,unsigned,room_info_request,,1,,
10,0x39,1,0,0,unsigned,tv_status,,1,,
10,0x39,1,1,1,unsigned,projector,,1,,
10,0x39,1,2,2,unsigned,web_camera,,1,,
10,0x39,1,3,3,unsigned,white_board,,1,,
