port,header,data_size,bit_start,bit_end,type,parameter_name,group_name,coefficient,round
100,0x00,8,0,63,hexstring,device_eui,,1,
100,0x01,8,0,63,hexstring,app_eui,,1,
100,0x02,16,0,127,hexstring,app_key,,1,
100,0x03,4,0,31,hexstring,device_address,,1,
100,0x04,16,0,127,hexstring,network_session_key,,1,
100,0x05,16,0,127,hexstring,app_session_key,,1,
100,0x10,2,7,7,unsigned,join_mode,,1,
100,0x11,2,0,0,unsigned,confirm_mode,options,1,
100,0x11,2,1,1,unsigned,networks,options,1,
100,0x11,2,2,2,unsigned,duty_cycle,options,1,
100,0x11,2,3,3,unsigned,adr,options,1,
100,0x12,2,0,3,unsigned,dr_number,dr_tx_power,1,
100,0x12,2,8,11,unsigned,tx_power,dr_tx_power,1,
100,0x13,5,0,31,unsigned,frequency,rx2,1,
100,0x13,5,32,39,unsigned,data_rate,rx2,1,
100,0x19,2,0,15,unsigned,net_id_msb,,1,
100,0x1A,2,0,15,unsigned,net_id_lsb,,1,
100,0x20,4,0,31,unsigned,core,,1,
100,0x21,2,0,15,unsigned,per_battery,,1,
100,0x22,2,0,15,unsigned,per_temperature,,1,
100,0x23,2,0,15,unsigned,per_relative_humidity,,1,
100,0x24,2,0,15,unsigned,per_digital_input,,1,
100,0x25,2,0,15,unsigned,per_light,,1,
100,0x26,2,0,15,unsigned,per_acceleration,,1,
100,0x27,2,0,15,unsigned,per_mcu_temperature,,1,
100,0x28,2,0,15,unsigned,per_pir,,1,
100,0x2A,1,0,0,unsigned,rising_edge,mode,1,
100,0x2A,1,1,1,unsigned,falling_edge,mode,1,
100,0x2B,2,0,15,unsigned,count_threshold,,1,
100,0x2C,1,0,0,unsigned,report_state,values_to_transmit,1,
100,0x2C,1,1,1,unsigned,report_count,values_to_transmit,1,
100,0x2D,1,0,0,unsigned,rising_edge,mode,1,
100,0x2D,1,1,1,unsigned,falling_edge,mode,1,
100,0x2D,1,7,7,unsigned,analog,mode,1,
100,0x2E,2,0,15,unsigned,count_threshold,,1,
100,0x2F,1,0,0,unsigned,state,values_to_transmit,1,
100,0x2F,1,1,1,unsigned,count,values_to_transmit,1,
100,0x30,2,0,15,unsigned,threshold_break_in,,1,3
100,0x31,2,0,15,unsigned,threshold_impact,,1,3
100,0x32,1,0,0,unsigned,alarm,values_to_transmit,1,
100,0x32,1,1,1,unsigned,magnitude,values_to_transmit,1,
100,0x32,1,2,2,unsigned,full_precision,values_to_transmit,1,
100,0x33,2,0,15,unsigned,impact_grace_period,,1,
100,0x34,1,0,0,unsigned,break_in_threshold_enable,mode,1,
100,0x34,1,1,1,unsigned,impact_threshold_enable,mode,1,
100,0x34,1,7,7,unsigned,power,mode,1,
100,0x35,1,0,2,unsigned,sample_rate,,1,
100,0x39,4,0,31,unsigned,sample_period_idle,,1,
100,0x3A,4,0,31,unsigned,sample_period_active,,1,
100,0x3B,2,0,7,signed,low,temperature_threshold,1,1
100,0x3B,2,8,15,signed,high,temperature_threshold,1,1
100,0x3C,1,0,0,unsigned,temperature_threshold_enable,,1,
100,0x3D,2,0,7,unsigned,low,rh_threshold,1,1
100,0x3D,2,8,15,unsigned,high,rh_threshold,1,1
100,0x3E,1,0,0,unsigned,rh_threshold_enable,rh_enable,1,
100,0x40,4,0,31,unsigned,sample_period_idle,,1,
100,0x41,4,0,31,unsigned,sample_period_active,,1,
100,0x42,2,0,7,signed,high,threshold,1,1
100,0x42,2,8,15,signed,low,threshold,1,1
100,0x43,1,0,0,unsigned,threshold_enable,,1,
100,0x47,4,0,31,unsigned,sample_period,,1,
100,0x48,1,0,7,unsigned,threshold_high,,1,
100,0x50,2,0,15,unsigned,grace_period,,1,
100,0x51,2,0,15,unsigned,count_threshold,,1,
100,0x52,2,0,15,unsigned,count_grace_period,,1,
100,0x53,1,0,0,unsigned,motion_state,mode,1,
100,0x53,1,1,1,unsigned,motion_count,mode,1,
100,0x53,1,6,6,unsigned,report_enable,mode,1,
100,0x53,1,7,7,unsigned,sensor_enable,mode,1,
100,0x5A,1,0,7,unsigned,sample_period,,1,
100,0x5B,1,0,7,unsigned,high_threshold,,1,
100,0x5C,1,0,0,unsigned,sensor_enable,,1,
100,0x5D,1,0,7,unsigned,dry_calibration,,1,
100,0x70,2,5,5,unsigned,app_configuration,write_to_flash,1,
100,0x70,2,6,6,unsigned,lora_configuration,write_to_flash,1,
100,0x70,2,8,8,unsigned,restart_sensor,write_to_flash,1,
100,0x71,7,0,7,unsigned,app_major_version,firmware_version,1,
